arquetipo,org,full_name,repo_name,stars,language,size_kb,ultimo_commit_iso,html_url,descricao,familia
apache,apache,apache/incubator-seata,incubator-seata,25965,Java,31974,2026-05-26T16:01:12Z,https://github.com/apache/incubator-seata,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",incubator
apache,apache,apache/skywalking,skywalking,24802,Java,177387,2026-05-26T04:22:51Z,https://github.com/apache/skywalking,"APM, Application Performance Monitoring System",skywalking
apache,apache,apache/rocketmq,rocketmq,22438,Java,46070,2026-05-26T06:21:17Z,https://github.com/apache/rocketmq,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",rocketmq
apache,apache,apache/shardingsphere,shardingsphere,20726,Java,691235,2026-05-26T17:42:18Z,https://github.com/apache/shardingsphere,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",shardingsphere
apache,apache,apache/hadoop,hadoop,15552,Java,607613,2026-05-26T10:53:21Z,https://github.com/apache/hadoop,Apache Hadoop,hadoop
apache,apache,apache/doris,doris,15399,Java,1318124,2026-05-26T15:24:58Z,https://github.com/apache/doris,"Apache Doris is an easy-to-use, high performance and unified analytics database.",doris
apache,apache,apache/dolphinscheduler,dolphinscheduler,14283,Java,224115,2026-05-26T10:50:10Z,https://github.com/apache/dolphinscheduler,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,dolphinscheduler
apache,apache,apache/druid,druid,14008,Java,421006,2026-05-25T19:04:27Z,https://github.com/apache/druid,Apache Druid: a high performance real-time analytics database.,druid
apache,apache,apache/jmeter,jmeter,9402,Java,135467,2026-05-26T10:12:07Z,https://github.com/apache/jmeter,Apache JMeter open-source load testing tool for analyzing and measuring the performance of a variety of services,jmeter
apache,apache,apache/seatunnel,seatunnel,9352,Java,55050,2026-05-26T14:14:10Z,https://github.com/apache/seatunnel,"SeaTunnel is a multimodal, high-performance, distributed, massive data integration tool.",seatunnel
apache,apache,apache/iceberg,iceberg,8891,Java,111348,2026-05-26T17:04:15Z,https://github.com/apache/iceberg,Apache Iceberg,iceberg
apache,apache,apache/shenyu,shenyu,8791,Java,76542,2026-05-16T15:02:20Z,https://github.com/apache/shenyu,"Apache ShenYu is a Java native API Gateway for service proxy, protocol conversion and API governance.",shenyu
apache,apache,apache/beam,beam,8593,Java,1015566,2026-05-26T18:35:56Z,https://github.com/apache/beam,Apache Beam is a unified programming model for Batch and Streaming data processing.,beam
apache,apache,apache/shardingsphere-elasticjob,shardingsphere-elasticjob,8206,Java,45959,2026-05-07T15:44:13Z,https://github.com/apache/shardingsphere-elasticjob,Distributed scheduled job,shardingsphere
apache,apache,apache/hertzbeat,hertzbeat,7245,Java,335724,2026-05-24T02:31:48Z,https://github.com/apache/hertzbeat,An AI-powered next-generation open source real-time observability system.,hertzbeat
apache,apache,apache/storm,storm,6687,Java,158287,2026-05-24T11:59:17Z,https://github.com/apache/storm,Apache Storm,storm
apache,apache,apache/zeppelin,zeppelin,6621,Java,113130,2026-05-25T11:13:11Z,https://github.com/apache/zeppelin,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala and more.",zeppelin
apache,apache,apache/flink-cdc,flink-cdc,6425,Java,50805,2026-05-26T11:21:59Z,https://github.com/apache/flink-cdc,Flink CDC is a streaming data integration tool,flink
apache,apache,apache/iotdb,iotdb,6334,Java,356455,2026-05-26T06:26:03Z,https://github.com/apache/iotdb,Apache IoTDB,iotdb
apache,apache,apache/incubator-kie-drools,incubator-kie-drools,6260,Java,311169,2026-05-22T16:52:02Z,https://github.com/apache/incubator-kie-drools,"Drools is a rule engine, DMN engine and complex event processing (CEP) engine for Java",incubator
apache,apache,apache/hudi,hudi,6166,Java,2703424,2026-05-26T15:18:16Z,https://github.com/apache/hudi,"Upserts, Deletes And Incremental Processing on Big Data.",hudi
apache,apache,apache/nifi,nifi,6096,Java,307773,2026-05-26T13:39:56Z,https://github.com/apache/nifi,Apache NiFi,nifi
apache,apache,apache/pinot,pinot,6086,Java,354057,2026-05-26T10:09:47Z,https://github.com/apache/pinot,Apache Pinot - A realtime distributed OLAP datastore,pinot
apache,apache,apache/fesod,fesod,6036,Java,32843,2026-05-21T03:23:00Z,https://github.com/apache/fesod,Fast. Easy. Done. Processing spreadsheets without worrying about large files causing OOM.,fesod
apache,apache,apache/hive,hive,5967,Java,752744,2026-05-26T15:18:43Z,https://github.com/apache/hive,Apache Hive,hive
apache,apache,apache/hbase,hbase,5534,Java,517043,2026-05-26T09:50:12Z,https://github.com/apache/hbase,Apache HBase,hbase
apache,apache,apache/groovy,groovy,5445,Java,244962,2026-05-26T08:21:08Z,https://github.com/apache/groovy,Apache Groovy: A powerful multi-faceted programming language for the JVM platform,groovy
apache,apache,apache/dubbo-spring-boot-project,dubbo-spring-boot-project,5392,Java,1555,2026-05-15T20:30:59Z,https://github.com/apache/dubbo-spring-boot-project,Spring Boot Project for Apache Dubbo,dubbo
apache,apache,apache/calcite,calcite,5128,Java,110694,2026-05-24T09:18:42Z,https://github.com/apache/calcite,Apache Calcite,calcite
apache,apache,apache/ignite,ignite,5067,Java,478798,2026-05-26T18:38:00Z,https://github.com/apache/ignite,Apache Ignite,ignite
apache,apache,apache/rocketmq-externals,rocketmq-externals,4609,Java,36289,2026-05-15T22:48:25Z,https://github.com/apache/rocketmq-externals,Mirror of Apache RocketMQ (Incubating),rocketmq
apache,apache,apache/shiro,shiro,4434,Java,33262,2026-05-26T17:43:56Z,https://github.com/apache/shiro,"Apache Shiro is a powerful and easy-to-use Java security framework that performs authentication, authorization, cryptography, and session management",shiro
apache,apache,apache/fory,fory,4344,Java,41463,2026-05-26T11:39:40Z,https://github.com/apache/fory,"A blazingly fast multi-language serialization framework for idiomatic domain objects, schema IDL, and cross-language data exchange.",fory
apache,apache,apache/streampark,streampark,4313,Java,48924,2026-05-26T17:05:17Z,https://github.com/apache/streampark,Make stream processing easier! Easy-to-use streaming application development framework and operation platform.,streampark
apache,apache,apache/tika,tika,3777,Java,359914,2026-05-26T17:45:34Z,https://github.com/apache/tika,"The Apache Tika toolkit detects and extracts metadata and text from over a thousand different file types (such as PPT, XLS, and PDF).",tika
apache,apache,apache/kylin,kylin,3766,Java,573839,2026-05-15T22:11:03Z,https://github.com/apache/kylin,Apache Kylin,kylin
apache,apache,apache/logging-log4j2,logging-log4j2,3606,Java,151361,2026-05-26T11:51:28Z,https://github.com/apache/logging-log4j2,"Apache Log4j is a versatile, feature-rich, efficient logging API and backend for Java.",logging
apache,apache,apache/incubator-kie-optaplanner,incubator-kie-optaplanner,3496,Java,244757,2026-05-19T15:20:15Z,https://github.com/apache/incubator-kie-optaplanner,"AI constraint solver in Java to optimize the vehicle routing problem, employee rostering, task assignment, maintenance scheduling, conference scheduling and other planning problems.",incubator
