id,nome,empresa,arquetipo,instancia,status,tag,commit_sha,data_commit,idade_anos,contribuidores,loc_total,loc_java,sqale_index,ncloc,sqale_debt_ratio,code_smells,bugs,vulnerabilities,complexity,cognitive_complexity,duplicated_lines_density,comment_lines_density,snapshot_type,branch_principal,idade_snapshot_dias,subconjunto
google-jimfs-20,jimfs,Google,google,google,ativo,HEAD-on-master-2026-05-24,31618bf10cddeee7a3e5c2a75ead32e045724876,2026-05-08,,,,11569,1530,11959,0.6,244,19,0,1457,730,1.9,17.4,head-of-main,master,16,n30-v1.6
netflix-archaius-11,archaius,Netflix,descentralizado,netflix,ativo,HEAD-on-2.x-2026-05-24,8629b765ca44fa8cf6b229b050621126df26d04f,2025-12-16,,,,11395,3885,11395,1.8,750,20,0,1458,801,0.2,14.7,head-of-main,2.x,159,n30-v1.6
linkedin-parseq-05,parseq,LinkedIn,descentralizado,linkedin,ativo,HEAD-on-master-2026-05-24,bbf8e7133b2c13aab08f1b08e03cba0fb37fb582,2025-07-28,,,,18329,9388,18329,1.7,1548,44,0,3992,1789,8.8,22.3,head-of-main,master,300,n30-v1.6
apache-dolphinscheduler-20,dolphinscheduler,Apache,apache,apache,ativo,HEAD-on-dev-2026-05-24,2cb705aef9b1d5c94f9618d2ebe97f2ca59014e5,2026-05-24,,,,94992,29695,160901,0.6,5466,62,0,17751,9458,4.9,6.9,head-of-main,dev,0,n30-v1.6
uber-autodispose-06,AutoDispose,Uber,descentralizado,uber,ativo,HEAD-on-main-2026-05-24,0c5b35e0154f4242f27ec2f65b5f1677187aea69,2026-05-14,,,,10248,1213,10749,1.5,106,4,0,494,312,3.1,20.8,head-of-main,main,10,n30-v1.6
uber-okbuck-07,okbuck,Uber,descentralizado,uber,ativo,HEAD-on-master-2026-05-24,87682cd5c70f584f94afef0206780cfe4325002d,2026-03-28,,,,10087,387,10120,1.2,42,0,0,172,153,0.0,10.3,head-of-main,master,57,n30-v1.6
netflix-hystrix-07,Hystrix,Netflix,descentralizado,netflix,ativo,HEAD-on-master-2026-05-24,5ce3bc58c38e7ca60ef2fe0e516e390e294ad941,2025-12-16,,,,19612,5765,19612,1.0,826,21,0,3669,1935,6.7,21.1,head-of-main,master,159,n30-v1.6
netflix-zuul-08,zuul,Netflix,descentralizado,netflix,ativo,HEAD-on-master-2026-05-24,05d52953a66a922ab573e35093e8457488949f60,2026-05-20,,,,18397,7595,18397,1.4,954,22,0,3150,1994,0.5,10.2,head-of-main,master,4,n30-v1.6
netflix-ribbon-09,ribbon,Netflix,descentralizado,netflix,ativo,HEAD-on-master-2026-05-24,2a55b5da9749cd416350193b0ea739d7cd6b2a2e,2025-12-16,,,,13683,11452,13683,2.8,1431,46,1,2530,1685,1.7,10.3,head-of-main,master,159,n30-v1.6
google-guice-13,guice,Google,google,google,ativo,HEAD-on-master-2026-05-24,55a2b68ebe445b8dca3795bd3cdfc5c09d566e74,2026-04-23,,,,30396,14926,31653,1.6,1836,45,0,5379,3512,0.3,20.0,head-of-main,master,31,n30-v1.6
apache-jmeter-22,jmeter,Apache,apache,apache,ativo,HEAD-on-master-2026-05-24,170647bdeadfec6a903b7ac653a5bd4480989d9d,2026-04-08,,,,119462,19274,123915,0.5,2188,68,7,21728,16490,2.5,21.3,head-of-main,master,46,n30-v1.6
apache-iceberg-24,iceberg,Apache,apache,apache,ativo,HEAD-on-main-2026-05-24,75fcb8d9e3378237a6b73b1b20d507641c37a392,2026-05-24,,,,209457,83131,211913,1.3,16373,301,0,38038,19215,2.9,8.4,head-of-main,main,0,n30-v1.6
apache-rocketmq-16,rocketmq,Apache,apache,apache,ativo,HEAD-on-develop-2026-05-24,1251c9af3ef7942178b70c8aad9b04d46cddbb39,2026-05-23,,,,177613,65114,177613,1.2,6271,793,0,34381,28899,5.0,4.4,head-of-main,develop,1,n30-v1.6
apache-seatunnel-23,seatunnel,Apache,apache,apache,ativo,HEAD-on-dev-2026-05-24,1651f9f8c95fc78e6f70063914507ffb64a7cad1,2026-05-24,,,,295257,114244,331009,1.2,14910,551,59,46005,31863,5.6,6.1,head-of-main,dev,0,n30-v1.6
apache-skywalking-15,skywalking,Apache,apache,apache,ativo,HEAD-on-master-2026-05-24,40d95a179b0af6fab342316bce905f28918dd4ee,2026-05-24,,,,142431,18752,142431,0.4,2209,60,0,22035,17078,4.3,10.8,head-of-main,master,0,n30-v1.6
apache-druid-21,druid,Apache,apache,apache,ativo,HEAD-on-master-2026-05-24,06ef24c1e09a8000c91dd0767e09278b34066252,2026-05-23,,,,622702,333450,640579,1.7,40971,727,0,94095,65454,3.0,8.4,head-of-main,master,1,n30-v1.6
apache-shardingsphere-17,shardingsphere,Apache,apache,apache,ativo,HEAD-on-master-2026-05-24,cc3ab1348109451d73f978f4a4402d91205a974e,2026-05-24,,,,230727,133855,250957,1.8,2918,471,5,40266,21102,4.8,9.7,head-of-main,master,0,n30-v1.6
netflix-priam-10,Priam,Netflix,descentralizado,netflix,ativo,HEAD-on-4.x-2026-05-24,43f0d9726c21797d1111e2b43a02d5a3a978b120,2026-02-03,,,,13171,5451,13171,1.4,628,55,0,2140,1356,0.1,12.2,head-of-main,4.x,110,n30-v1.6
apache-shenyu-19,shenyu,Apache,apache,apache,ativo,HEAD-on-master-2026-05-24,73a4a06811e3ed1325a7e1af91a2247b12ee2b8b,2026-05-16,,,,113328,32747,121614,0.9,7059,154,6,21696,8989,9.4,22.4,head-of-main,master,8,n30-v1.6
apache-incubator-seata-18,incubator-seata,Apache,apache,apache,ativo,HEAD-on-2.x-2026-05-24,f453b470964243e6c136677c62b4a4333fc40b17,2026-05-27,,,,178658,106566,193737,1.8,16174,279,4,49783,20996,10.0,12.4,head-of-main,2.x,-3,n30-v1.6
google-dataflow-templates-21,dataflow-templates,Google,google,google,ativo,HEAD-on-main-2026-05-24,7424bd6c4c1603d88a80fc8343081d3c4e3f9a86,2026-05-27,,,,162706,109234,171569,2.1,12377,369,4,21079,14991,5.8,11.3,head-of-main,main,-3,n30-v1.6
google-tsunami-14,tsunami-security-scanner,Google,google,google,ativo,HEAD-on-master-2026-05-24,f29c42aa5bc0c865d5aa15cb55c7c11072af641c,2026-04-16,,,,11015,636,11015,0.2,85,6,5,1294,608,1.5,13.9,head-of-main,master,38,n30-v1.6
netflix-genie-12,genie,Netflix,descentralizado,netflix,ativo,HEAD-on-master-2026-05-24,81f36f93b02fe47ee78493039fc1a8dd8c3154eb,2025-08-05,,,,39678,6380,39678,0.5,842,28,0,4175,2316,1.7,22.9,head-of-main,master,292,n30-v1.6
google-flogger-17,flogger,Google,google,google,ativo,HEAD-on-master-2026-05-24,b5367138a5e29589596c56b895c8633fbef4e372,2026-05-01,,,,10797,1675,10797,0.7,284,7,0,1700,971,0.4,37.7,head-of-main,master,23,n30-v1.6
google-copybara-19,copybara,Google,google,google,ativo,HEAD-on-master-2026-05-24,5a896d46c87151828ff726bb28ba1d54b7cf3bd2,2026-05-21,,,,63228,7342,63228,0.4,814,14,0,7964,4757,0.2,7.8,head-of-main,master,3,n30-v1.6
google-j2cl-18,j2cl,Google,google,google,ativo,HEAD-on-master-2026-05-24,a1d593a18677ffb744ccd68f99b325aecfda495b,2026-05-28,,,,61408,9067,80622,0.4,1184,39,0,15321,8451,0.8,14.5,head-of-main,master,-4,n30-v1.6
