id,nome,empresa,arquetipo,status,url,tag,commit_sha,data_commit,loc_total,loc_java,pct_java,contribuidores,idade_anos,sonar_status,sonar_project_key,notas,branch_principal,snapshot_type,subconjunto,idade_snapshot_dias
apache-tomcat-01,tomcat,Apache,apache,ativo,https://github.com/apache/tomcat,10.1.50,cd6d685800b0e46797325866dee2c9a78fc8e69c,2025-12-02,299707,257541,85.9,189,19.6,Failed,apache-tomcat-01,,,release-tag-pre-2026,n34-v1.5,
apache-zookeeper-02,zookeeper,Apache,apache,ativo,https://github.com/apache/zookeeper,release-3.8.5,19f1842d4b6ee1f82cc8b05284959b26c6ae507d,2025-09-03,54123,51335,94.8,264,17.3,Passed,apache-zookeeper-02,,,release-tag-pre-2026,n34-v1.5,
apache-kafka-03,kafka,Apache,apache,ativo,https://github.com/apache/kafka,4.1.1,be816b82d25370ceac697ccf7c88cea873e9b4e3,2025-10-26,590314,561997,95.2,1477,14.2,Passed,apache-kafka-03,,,release-tag-pre-2026,n34-v1.5,
apache-cassandra-04,cassandra,Apache,apache,ativo,https://github.com/apache/cassandra,cassandra-5.0.6,4cba279af681367de72ddfe1589b4e15870c9a8e,2025-10-21,863318,849320,98.3,591,16.6,Passed,apache-cassandra-04,,,release-tag-pre-2026,n34-v1.5,
apache-flink-05,flink,Apache,apache,ativo,https://github.com/apache/flink,release-2.2.0,5a336892424a9458653ead89610bf60d771ab8d7,2025-11-27,344039,344039,100.0,1949,14.9,Passed,apache-flink-05,,,release-tag-pre-2026,n34-v1.5,
apache-commons-lang-06,commons-lang,Apache,apache,ativo,https://github.com/apache/commons-lang,rel/commons-lang-3.20.0,598dfc163b8b410fb3bb8794521206ec8dcec82a,2025-11-12,32928,31971,97.0,289,23.3,Passed,apache-commons-lang-06,,,release-tag-pre-2026,n34-v1.5,
apache-commons-io-07,commons-io,Apache,apache,ativo,https://github.com/apache/commons-io,rel/commons-io-2.21.0,54073d3b5fdd2985b98a48040ede95eb59c7ee53,2025-11-04,20733,20158,97.2,145,23.7,Passed,apache-commons-io-07,,,release-tag-pre-2026,n34-v1.5,
apache-commons-collections-08,commons-collections,Apache,apache,ativo,https://github.com/apache/commons-collections,rel/commons-collections-4.5.0,7f7fb0244abc940a2e9dd28b67508c0483a58c3e,2025-04-19,33457,32688,97.7,118,24.0,Passed,apache-commons-collections-08,,,release-tag-pre-2026,n34-v1.5,
apache-maven-09,maven,Apache,apache,ativo,https://github.com/apache/maven,maven-3.9.12,848fbb4bf2d427b72bdb2471c22fced7ebd9a7a1,2025-12-13,58045,55920,96.3,176,22.2,Passed,apache-maven-09,,,release-tag-pre-2026,n34-v1.5,
apache-lucene-10,lucene,Apache,apache,ativo,https://github.com/apache/lucene,releases/lucene/10.3.2,dadfd90b4401947f4d0387669dc94999fbb2c830,2025-10-30,563234,557546,98.9,524,24.1,Failed,apache-lucene-10,,,release-tag-pre-2026,n34-v1.5,
apache-camel-11,camel,Apache,apache,ativo,https://github.com/apache/camel,camel-4.14.3,bfd8046a853854fbe753939a30aec8b5452bc61d,2025-12-21,539254,538770,99.9,1469,18.7,Failed,apache-camel-11,,,release-tag-pre-2026,n34-v1.5,
apache-curator-12,curator,Apache,apache,ativo,https://github.com/apache/curator,apache-curator-5.9.0,37c7a713984ef83413c695aee352af2af6daa974,2025-07-04,31339,29054,92.7,160,13.9,Passed,apache-curator-12,,,release-tag-pre-2026,n34-v1.5,
apache-dubbo-13,dubbo,Apache,apache,ativo,https://github.com/apache/dubbo,dubbo-3.2.19,d18253d65d553d8d6e0fbcb74260822f2f350901,2025-11-13,168655,156802,92.9,643,14.0,Passed,apache-dubbo-13,branch principal: origin/3.3,,release-tag-pre-2026,n34-v1.5,
apache-pulsar-14,pulsar,Apache,apache,ativo,https://github.com/apache/pulsar,v3.0.15,36a659f49d316c74b2936125cfffdb790231c9d8,2025-11-11,47516,47516,100.0,734,9.1,Passed,apache-pulsar-14,,,release-tag-pre-2026,n34-v1.5,
google-guava-01,guava,Google,google,ativo,https://github.com/google/guava,v33.5.0,8868c096cfdabbe38170b6e395369c315cfb72a1,2025-09-17,518634,515533,99.4,489,16.2,Passed,google-guava-01,,,release-tag-pre-2026,n34-v1.5,
google-gson-02,gson,Google,google,ativo,https://github.com/google/gson,gson-parent-2.13.2,686fad782d969d8f15c7581a5435a208b810caa7,2025-09-10,13511,12148,89.9,174,17.0,Passed,google-gson-02,,,release-tag-pre-2026,n34-v1.5,
google-dagger-03,dagger,Google,google,ativo,https://github.com/google/dagger,dagger-2.57.2,438334a32db88b32e8420b81bc323a8dbff5144b,2025-09-23,54335,52483,96.5,187,13.2,Failed,google-dagger-03,,,release-tag-pre-2026,n34-v1.5,
google-auto-04,auto,Google,google,ativo,https://github.com/google/auto,auto-value-1.11.1,4a03588ac0a15571642fd765f6b8d919eb147256,2025-11-11,14486,14486,100.0,133,12.4,Passed,google-auto-04,,,release-tag-pre-2026,n34-v1.5,
