arquetipo,full_name,stars,size_kb,java_pct,java_bytes,ncloc_est,created_at,idade_anos,contribuidores,release_estavel_pre_2026,c1_lang,c2_size,c3_idade,c4_contribs,c5_release,aprovado,ja_na_v17,observacao
apache,apache/incubator-seata,25965,31974,97.3,18260802,608693,2018-12-28T08:37:22Z,7.0,393,sim,ok,ok,ok,ok,ok,sim,nao,
apache,apache/skywalking,24802,177387,97.3,12539974,417999,2015-11-07T03:30:36Z,10.1,527,sim,ok,ok,ok,ok,ok,sim,sim,
apache,apache/rocketmq,22438,46070,98.9,15859929,528664,2016-11-30T08:00:08Z,9.1,694,sim,ok,ok,ok,ok,ok,sim,sim,
apache,apache/shardingsphere,20726,691235,95.3,35282907,1176096,2016-01-18T12:49:26Z,10.0,755,sim,ok,FAIL,ok,ok,ok,nao,sim,
apache,apache/hadoop,15552,607613,91.4,108043829,3601460,2014-08-28T07:00:08Z,11.3,955,nao,ok,FAIL,ok,ok,FAIL,nao,sim,
apache,apache/doris,15399,1318124,48.1,54727431,1824247,2017-08-10T12:13:30Z,8.4,801,sim,FAIL,FAIL,ok,ok,ok,nao,sim,
apache,apache/dolphinscheduler,14283,224115,81.6,10226475,340882,2019-03-01T16:39:25Z,6.8,676,sim,ok,ok,ok,ok,ok,sim,sim,
apache,apache/druid,14008,421006,82.7,63892034,2129734,2012-10-23T19:08:07Z,13.2,747,sim,ok,FAIL,ok,ok,ok,nao,sim,
apache,apache/jmeter,9402,135467,90.5,9143868,304795,2010-05-26T23:38:07Z,15.6,124,sim,ok,ok,ok,ok,ok,sim,sim,
apache,apache/seatunnel,9352,55050,98.0,27158983,905299,2017-08-05T09:14:47Z,8.4,460,sim,ok,ok,ok,ok,ok,sim,sim,
apache,apache/iceberg,8891,111348,98.5,43797823,1459927,2018-11-19T16:26:46Z,7.1,834,sim,ok,FAIL,ok,ok,ok,nao,sim,
apache,apache/shenyu,8791,76542,97.3,13240371,441345,2018-07-11T08:17:45Z,7.5,450,sim,ok,ok,ok,ok,ok,sim,nao,
apache,apache/beam,8593,1015566,64.7,51630442,1721014,2016-02-02T08:00:06Z,9.9,1904,sim,FAIL,FAIL,ok,ok,ok,nao,nao,
apache,apache/shardingsphere-elasticjob,8206,45959,99.8,1621425,54047,2015-09-11T11:28:52Z,10.3,136,sim,ok,ok,ok,ok,ok,sim,nao,
apache,apache/hertzbeat,7245,335724,68.6,6784447,226148,2022-02-04T14:48:56Z,3.9,298,sim,FAIL,ok,ok,ok,ok,nao,nao,
